alpha,similarity,base_lr,effective_lr,seed,forgetting,forgetting_reduction,loss_t1_after_t1,loss_t1_after_t2,loss_t2_after_t2,relative_time
0.75,0.0,0.1,0.001,0,0.002068101092163488,0.0,2.210364755228511e-06,0.0020703114569187164,0.16398990154266357,0.1808314323425293
0.75,0.0,0.1,0.001,1,0.0018549682440607285,0.0,1.4290112630988006e-06,0.0018563972553238273,0.15942104160785675,0.18767857551574707
0.75,0.0,0.1,0.001,2,0.001824664657192443,0.0,1.656234076108376e-06,0.0018263208912685513,0.1569267064332962,0.20913958549499512
0.75,0.0,0.1,0.001,3,0.001913423012979365,0.0,1.152915842794755e-06,0.0019145759288221598,0.1584932506084442,0.20930027961730957
0.75,0.0,0.1,0.001,4,0.0019522721707971868,0.0,1.725245624584204e-06,0.001953997416421771,0.16216997802257538,0.23838090896606445
1.0,0.0,0.1,0.001,0,0.002068101092163488,0.0,2.210364755228511e-06,0.0020703114569187164,0.16398990154266357,0.24145984649658203
1.0,0.0,0.1,0.001,1,0.0018549682440607285,0.0,1.4290112630988006e-06,0.0018563972553238273,0.15942104160785675,0.2243661880493164
1.0,0.0,0.1,0.001,2,0.001824664657192443,0.0,1.656234076108376e-06,0.0018263208912685513,0.1569267064332962,0.22494268417358398
1.0,0.0,0.1,0.001,3,0.001913423012979365,0.0,1.152915842794755e-06,0.0019145759288221598,0.1584932506084442,0.2412402629852295
1.0,0.0,0.1,0.001,4,0.0019522721707971868,0.0,1.725245624584204e-06,0.001953997416421771,0.16216997802257538,0.19902539253234863
1.5,0.0,0.1,0.001,0,0.002068101092163488,0.0,2.210364755228511e-06,0.0020703114569187164,0.16398990154266357,0.24362397193908691
1.5,0.0,0.1,0.001,1,0.0018549682440607285,0.0,1.4290112630988006e-06,0.0018563972553238273,0.15942104160785675,0.21409988403320312
1.5,0.0,0.1,0.001,2,0.001824664657192443,0.0,1.656234076108376e-06,0.0018263208912685513,0.1569267064332962,0.19644618034362793
1.5,0.0,0.1,0.001,3,0.001913423012979365,0.0,1.152915842794755e-06,0.0019145759288221598,0.1584932506084442,0.2570059299468994
