method,lambda_value,similarity,learning_rate,seed,forgetting,forgetting_reduction,loss_t1_after_t1,loss_t1_after_t2,loss_t2_after_t2,ewc_loss_mean,ewc_loss_final,relative_time
none,0.0,0.6,0.01,0,-0.08267702534794807,0.0,0.14282096922397614,0.06014394387602806,0.030996499583125114,0.0,0.0,0.30856895446777344
none,0.0,0.6,0.01,1,-0.08670797944068909,0.0,0.14401620626449585,0.05730822682380676,0.030894199386239052,0.0,0.0,0.2821075916290283
none,0.0,0.6,0.01,2,-0.094003826379776,0.0,0.15054839849472046,0.05654457211494446,0.03338807448744774,0.0,0.0,0.2940092086791992
none,0.0,0.6,0.01,3,-0.08224000781774521,0.0,0.14365245401859283,0.061412446200847626,0.03005365841090679,0.0,0.0,0.3235621452331543
none,0.0,0.6,0.01,4,-0.09439069032669067,0.0,0.15742692351341248,0.0630362331867218,0.0314333438873291,0.0,0.0,0.37363457679748535
l2,0.0,0.6,0.01,0,-0.08267702534794807,0.0,0.14282096922397614,0.06014394387602806,0.030996499583125114,0.0,0.0,0.29647040367126465
l2,0.0,0.6,0.01,1,-0.08670797944068909,0.0,0.14401620626449585,0.05730822682380676,0.030894199386239052,0.0,0.0,0.27762293815612793
l2,0.0,0.6,0.01,2,-0.094003826379776,0.0,0.15054839849472046,0.05654457211494446,0.03338807448744774,0.0,0.0,0.29080820083618164
l2,0.0,0.6,0.01,3,-0.08224000781774521,0.0,0.14365245401859283,0.061412446200847626,0.03005365841090679,0.0,0.0,0.2778477668762207
l2,0.0,0.6,0.01,4,-0.09439069032669067,0.0,0.15742692351341248,0.0630362331867218,0.0314333438873291,0.0,0.0,0.2536277770996094
l2,0.01,0.6,0.01,0,-0.08253148570656776,0.0,0.14282096922397614,0.06028948351740837,0.03305437043309212,0.0018786303974263135,0.004312535282224417,0.32195115089416504
l2,0.01,0.6,0.01,1,-0.08651143312454224,0.0,0.14401620626449585,0.05750477313995361,0.03298020735383034,0.0019041594764680739,0.004372014198452234,0.3476684093475342
l2,0.01,0.6,0.01,2,-0.09375270828604698,0.0,0.15054839849472046,0.05679569020867348,0.03559550270438194,0.002014278072901938,0.004624191205948591,0.3271498680114746
l2,0.01,0.6,0.01,3,-0.08203119412064552,0.0,0.14365245401859283,0.06162125989794731,0.03198053315281868,0.0017273054868996666,0.003979578614234924,0.33437371253967285
l2,0.01,0.6,0.01,4,-0.09404893964529037,0.0,0.15742692351341248,0.0633779838681221,0.03355987370014191,0.0019549794002781413,0.004482553340494633,0.39539241790771484
l2,0.1,0.6,0.01,0,-0.0792168378829956,0.0,0.14282096922397614,0.06360413134098053,0.051786262542009354,0.014489897409727632,0.03043341636657715,0.30689239501953125
l2,0.1,0.6,0.01,1,-0.08275998011231422,0.0,0.14401620626449585,0.061256226152181625,0.051970116794109344,0.01468590401676579,0.03085131011903286,0.3029494285583496
l2,0.1,0.6,0.01,2,-0.08945729210972786,0.0,0.15054839849472046,0.0610911063849926,0.05568642541766167,0.015535966035105958,0.03263210877776146,0.3186013698577881
l2,0.1,0.6,0.01,3,-0.07832105457782745,0.0,0.14365245401859283,0.06533139944076538,0.049449995160102844,0.013311903152463686,0.028049970045685768,0.3261730670928955
l2,0.1,0.6,0.01,4,-0.08915795385837555,0.0,0.15742692351341248,0.06826896965503693,0.05294942483305931,0.015082273056760754,0.03164578974246979,0.3147306442260742
l2,1.0,0.6,0.01,0,-0.03724351525306702,0.0,0.14282096922397614,0.10557745397090912,0.1562151163816452,0.025233240702349575,0.03318050131201744,0.3351457118988037
l2,1.0,0.6,0.01,1,-0.03866436332464218,0.0,0.14401620626449585,0.10535184293985367,0.15783299505710602,0.025563614482092815,0.03361755609512329,0.29720568656921387
l2,1.0,0.6,0.01,2,-0.0416775718331337,0.0,0.15054839849472046,0.10887082666158676,0.16766375303268433,0.0270529802138135,0.03557383269071579,0.3409867286682129
l2,1.0,0.6,0.01,3,-0.036367833614349365,0.0,0.14365245401859283,0.10728462040424347,0.14582808315753937,0.023077076424068765,0.030367955565452576,0.30699920654296875
l2,1.0,0.6,0.01,4,-0.040890276432037354,0.0,0.15742692351341248,0.11653664708137512,0.16148406267166138,0.026292703378660007,0.03456840291619301,0.3581044673919678
l2,10.0,0.6,0.01,0,-0.00504949688911438,0.0,0.14282096922397614,0.13777147233486176,0.22067466378211975,0.004703740504977759,0.004843078088015318,0.32956433296203613
l2,10.0,0.6,0.01,1,-0.005233496427536011,0.0,0.14401620626449585,0.13878270983695984,0.22313523292541504,0.00476340518725192,0.004904516041278839,0.3629307746887207
l2,10.0,0.6,0.01,2,-0.0056471675634384155,0.0,0.15054839849472046,0.14490123093128204,0.23677150905132294,0.0050424525536509465,0.00519182626157999,0.34615159034729004
l2,10.0,0.6,0.01,3,-0.004910528659820557,0.0,0.14365245401859283,0.13874192535877228,0.20477233827114105,0.004286883335465973,0.004413909744471312,0.3172624111175537
l2,10.0,0.6,0.01,4,-0.005512416362762451,0.0,0.15742692351341248,0.15191450715065002,0.22864948213100433,0.004903050226799678,0.0050482917577028275,0.33693408966064453
l2,100.0,0.6,0.01,0,-0.0005226582288742065,0.0,0.14282096922397614,0.14229831099510193,0.2294646054506302,0.0005042734894668684,0.0005052792257629335,0.31703805923461914
l2,100.0,0.6,0.01,1,-0.0005415678024291992,0.0,0.14401620626449585,0.14347463846206665,0.2320365458726883,0.0005106413618195802,0.000511659774929285,0.3793487548828125
l2,100.0,0.6,0.01,2,-0.0005844682455062866,0.0,0.15054839849472046,0.14996393024921417,0.24619437754154205,0.0005405727883335203,0.0005416509229689837,0.29865074157714844
l2,100.0,0.6,0.01,3,-0.0005080252885818481,0.0,0.14365245401859283,0.143144428730011,0.21278256177902222,0.00045936133491341025,0.00046027754433453083,0.3755202293395996
l2,100.0,0.6,0.01,4,-0.0005702227354049683,0.0,0.15742692351341248,0.1568567007780075,0.2378118932247162,0.0005256413121242076,0.0005266896914690733,0.3663318157196045
ewc,0.0,0.6,0.01,0,-0.08267702534794807,0.0,0.14282096922397614,0.06014394387602806,0.030996499583125114,0.0,0.0,0.3560335636138916
ewc,0.0,0.6,0.01,1,-0.08670797944068909,0.0,0.14401620626449585,0.05730822682380676,0.030894199386239052,0.0,0.0,0.32593631744384766
ewc,0.0,0.6,0.01,2,-0.094003826379776,0.0,0.15054839849472046,0.05654457211494446,0.03338807448744774,0.0,0.0,0.317288875579834
ewc,0.0,0.6,0.01,3,-0.08224000781774521,0.0,0.14365245401859283,0.061412446200847626,0.03005365841090679,0.0,0.0,0.33002758026123047
ewc,0.0,0.6,0.01,4,-0.09439069032669067,0.0,0.15742692351341248,0.0630362331867218,0.0314333438873291,0.0,0.0,0.2847113609313965
ewc,0.01,0.6,0.01,0,-0.08267587795853615,0.0,0.14282096922397614,0.06014509126543999,0.031008465215563774,1.1282927357780803e-05,2.618276448629331e-05,0.37180614471435547
ewc,0.01,0.6,0.01,1,-0.08670652657747269,0.0,0.14401620626449585,0.05730967968702316,0.030906790867447853,1.1850197879841095e-05,2.7513997338246554e-05,0.3303530216217041
ewc,0.01,0.6,0.01,2,-0.0940021201968193,0.0,0.15054839849472046,0.056546278297901154,0.03340121731162071,1.2440966816653965e-05,2.884496825572569e-05,0.35999631881713867
ewc,0.01,0.6,0.01,3,-0.08223863691091537,0.0,0.14365245401859283,0.06141381710767746,0.030065130442380905,1.0683481373055914e-05,2.484801552782301e-05,0.3574841022491455
ewc,0.01,0.6,0.01,4,-0.09438825398683548,0.0,0.15742692351341248,0.063038669526577,0.03144783154129982,1.3783274354954301e-05,3.193094380549155e-05,0.3481616973876953
ewc,0.1,0.6,0.01,0,-0.0826655849814415,0.0,0.14282096922397614,0.06015538424253464,0.03111615963280201,0.00011263702932883523,0.0002612269890960306,0.34847235679626465
ewc,0.1,0.6,0.01,1,-0.08669335395097733,0.0,0.14401620626449585,0.057322852313518524,0.031020142138004303,0.00011829948095932963,0.0002745070378296077,0.3263874053955078
ewc,0.1,0.6,0.01,2,-0.09398667886853218,0.0,0.15054839849472046,0.05656171962618828,0.03351954370737076,0.00012419431037409144,0.00028777815168723464,0.36020565032958984
ewc,0.1,0.6,0.01,3,-0.0822262167930603,0.0,0.14365245401859283,0.06142623722553253,0.03016839362680912,0.00010665077776463682,0.000247904856223613,0.3552975654602051
ewc,0.1,0.6,0.01,4,-0.094366155564785,0.0,0.15742692351341248,0.06306076794862747,0.03157825767993927,0.0001375636375726077,0.00031847096397541463,0.3953113555908203
ewc,1.0,0.6,0.01,0,-0.08255359902977943,0.0,0.14282096922397614,0.0602673701941967,0.03219595551490784,0.0011073971528379686,0.0025531970895826817,0.38358116149902344
ewc,1.0,0.6,0.01,1,-0.08655205368995667,0.0,0.14401620626449585,0.057464152574539185,0.03215668350458145,0.0011629985234620506,0.002682786900550127,0.3916506767272949
ewc,1.0,0.6,0.01,2,-0.09382215887308121,0.0,0.15054839849472046,0.05672623962163925,0.03470614179968834,0.0012206882616245878,0.002811736660078168,0.3213460445404053
ewc,1.0,0.6,0.01,3,-0.08209284767508507,0.0,0.14365245401859283,0.06155960634350777,0.031203707680106163,0.001048340942019415,0.0024224556982517242,0.333538293838501
ewc,1.0,0.6,0.01,4,-0.09413333982229233,0.0,0.15742692351341248,0.06329358369112015,0.03288677707314491,0.0013491169319955034,0.00310240825638175,0.36945652961730957
ewc,10.0,0.6,0.01,0,-0.08070268481969833,0.0,0.14282096922397614,0.0621182844042778,0.04313034191727638,0.00940185236751273,0.020497851073741913,0.32636523246765137
ewc,10.0,0.6,0.01,1,-0.08435853943228722,0.0,0.14401620626449585,0.05965766683220863,0.043667614459991455,0.009860808442920359,0.021494189277291298,0.32774782180786133
ewc,10.0,0.6,0.01,2,-0.09137200191617012,0.0,0.15054839849472046,0.05917639657855034,0.046736035495996475,0.0103335775883441,0.022488143295049667,0.40381813049316406
ewc,10.0,0.6,0.01,3,-0.080022431910038,0.0,0.14365245401859283,0.06363002210855484,0.04167969524860382,0.00888030771795178,0.0193927101790905,0.44707345962524414
ewc,10.0,0.6,0.01,4,-0.09088067710399628,0.0,0.15742692351341248,0.0665462464094162,0.046162255108356476,0.0111869183273987,0.024133972823619843,0.4049837589263916
ewc,100.0,0.6,0.01,0,-0.05148754268884659,0.0,0.14282096922397614,0.09133342653512955,0.12349043041467667,0.027984324568275497,0.04278919845819473,0.4245033264160156
ewc,100.0,0.6,0.01,1,-0.05195821821689606,0.0,0.14401620626449585,0.09205798804759979,0.12762533128261566,0.02846134561380086,0.04289744421839714,0.29753851890563965
ewc,100.0,0.6,0.01,2,-0.05688764154911041,0.0,0.15054839849472046,0.09366075694561005,0.13451369106769562,0.02999733474593859,0.04548757150769234,0.4895167350769043
ewc,100.0,0.6,0.01,3,-0.049589693546295166,0.0,0.14365245401859283,0.09406276047229767,0.11774931848049164,0.02570786076415152,0.038971345871686935,0.42566514015197754
ewc,100.0,0.6,0.01,4,-0.05215747654438019,0.0,0.15742692351341248,0.10526944696903229,0.13764792680740356,0.028826510384557878,0.042157482355833054,0.39665961265563965
none,0.0,0.6,0.05,0,0.07685338036390021,0.0,0.0005207724752835929,0.07737415283918381,3.420191933400929e-05,0.0,0.0,0.39119744300842285
none,0.0,0.6,0.05,1,0.07516872583073564,0.0,0.00044594259816221893,0.07561466842889786,2.9964628993184306e-05,0.0,0.0,0.42711567878723145
none,0.0,0.6,0.05,2,0.07520733337150887,0.0,0.00048498500837013125,0.075692318379879,3.8824440707685426e-05,0.0,0.0,0.3580038547515869
none,0.0,0.6,0.05,3,0.07742675766348839,0.0,0.0003858022391796112,0.077812559902668,3.460237348917872e-05,0.0,0.0,0.3457658290863037
none,0.0,0.6,0.05,4,0.07439730799524114,0.0,0.0005137648549862206,0.07491107285022736,3.2862812076928094e-05,0.0,0.0,0.426302433013916
l2,0.0,0.6,0.05,0,0.07685338036390021,0.0,0.0005207724752835929,0.07737415283918381,3.420191933400929e-05,0.0,0.0,0.35498929023742676
l2,0.0,0.6,0.05,1,0.07516872583073564,0.0,0.00044594259816221893,0.07561466842889786,2.9964628993184306e-05,0.0,0.0,0.38994503021240234
l2,0.0,0.6,0.05,2,0.07520733337150887,0.0,0.00048498500837013125,0.075692318379879,3.8824440707685426e-05,0.0,0.0,0.4080023765563965
l2,0.0,0.6,0.05,3,0.07742675766348839,0.0,0.0003858022391796112,0.077812559902668,3.460237348917872e-05,0.0,0.0,0.3303711414337158
l2,0.0,0.6,0.05,4,0.07439730799524114,0.0,0.0005137648549862206,0.07491107285022736,3.2862812076928094e-05,0.0,0.0,0.3320748805999756
l2,0.01,0.6,0.05,0,0.06974801496835425,0.0,0.0005207724752835929,0.07026878744363785,0.00029962582630105317,0.0025107113645524352,0.0034892952535301447,0.33268189430236816
l2,0.01,0.6,0.05,1,0.06810478566330858,0.0,0.00044594259816221893,0.0685507282614708,0.00029416955658234656,0.0025073824826415034,0.003498291363939643,0.3505063056945801
l2,0.01,0.6,0.05,2,0.06798882345901802,0.0,0.00048498500837013125,0.06847380846738815,0.0003222669765818864,0.00248468756354805,0.0035015123430639505,0.4071846008300781
l2,0.01,0.6,0.05,3,0.07006216421723366,0.0,0.0003858022391796112,0.07044796645641327,0.0003110452089458704,0.00247827642308107,0.003482447238638997,0.38843536376953125
l2,0.01,0.6,0.05,4,0.06748827284900472,0.0,0.0005137648549862206,0.06800203770399094,0.0002963326987810433,0.002502262823893034,0.003477963153272867,0.3683936595916748
l2,0.1,0.6,0.05,0,0.03455898986430839,0.0,0.0005207724752835929,0.03507976233959198,0.008779038675129414,0.013937662058724527,0.017289308831095695,0.421417236328125
l2,0.1,0.6,0.05,1,0.03330228923005052,0.0,0.00044594259816221893,0.03374823182821274,0.008850033394992352,0.013812992948842293,0.017190201207995415,0.3827939033508301
l2,0.1,0.6,0.05,2,0.032773102924693376,0.0,0.00048498500837013125,0.03325808793306351,0.009015140123665333,0.013542523955616162,0.01693129353225231,0.3783712387084961
l2,0.1,0.6,0.05,3,0.034001778811216354,0.0,0.0003858022391796112,0.034387581050395966,0.00891894567757845,0.01355138791679201,0.016918784007430077,0.415238618850708
l2,0.1,0.6,0.05,4,0.03334279468981549,0.0,0.0005137648549862206,0.03385655954480171,0.008750240318477154,0.013882230822518977,0.017224976792931557,0.3856494426727295
l2,1.0,0.6,0.05,0,0.0023890408338047564,0.0,0.0005207724752835929,0.0029098133090883493,0.05461438000202179,0.011417120679026994,0.011992854997515678,0.3832995891571045
l2,1.0,0.6,0.05,1,0.002206639648647979,0.0,0.00044594259816221893,0.002652582246810198,0.05423730984330177,0.011030423161850194,0.011590401642024517,0.3571159839630127
l2,1.0,0.6,0.05,2,0.002082956547383219,0.0,0.00048498500837013125,0.0025679415557533503,0.05349143594503403,0.010572417294395564,0.011111845262348652,0.47060465812683105
l2,1.0,0.6,0.05,3,0.0022467307280749083,0.0,0.0003858022391796112,0.0026325329672545195,0.05343270301818848,0.010654292735991475,0.01119708176702261,0.4281806945800781
l2,1.0,0.6,0.05,4,0.0023102473351173103,0.0,0.0005137648549862206,0.002824012190103531,0.0543992854654789,0.01134023338607949,0.011912563815712929,0.4064762592315674
l2,10.0,0.6,0.05,0,3.3849384635686874e-05,0.0,0.0005207724752835929,0.0005546218599192798,0.07791189849376678,0.0017518724410329014,0.0017610015347599983,0.3887953758239746
l2,10.0,0.6,0.05,1,2.7672620490193367e-05,0.0,0.00044594259816221893,0.0004736152186524123,0.0767005980014801,0.0016735940865473821,0.0016823237529024482,0.3878295421600342
l2,10.0,0.6,0.05,2,2.015894278883934e-05,0.0,0.00048498500837013125,0.0005051439511589706,0.07499004155397415,0.0015907732805935666,0.0015990769024938345,0.4204978942871094
l2,10.0,0.6,0.05,3,3.303875564597547e-05,0.0,0.0003858022391796112,0.0004188409948255867,0.07510718703269958,0.0016069286776473745,0.0016153149772435427,0.4588737487792969
l2,10.0,0.6,0.05,4,3.6087119951844215e-05,0.0,0.0005137648549862206,0.0005498519749380648,0.0775340124964714,0.0017375506545067765,0.0017466063145548105,0.363844633102417
l2,100.0,0.6,0.05,0,inf,0.0,0.0005207724752835929,inf,inf,,,0.16032052040100098
l2,100.0,0.6,0.05,1,inf,0.0,0.00044594259816221893,inf,inf,,,0.1410083770751953
l2,100.0,0.6,0.05,2,inf,0.0,0.00048498500837013125,inf,inf,,,0.1682288646697998
l2,100.0,0.6,0.05,3,inf,0.0,0.0003858022391796112,inf,inf,,,0.1359882354736328
l2,100.0,0.6,0.05,4,inf,0.0,0.0005137648549862206,inf,inf,,,0.13842105865478516
ewc,0.0,0.6,0.05,0,0.07685338036390021,0.0,0.0005207724752835929,0.07737415283918381,3.420191933400929e-05,0.0,0.0,0.28029894828796387
ewc,0.0,0.6,0.05,1,0.07516872583073564,0.0,0.00044594259816221893,0.07561466842889786,2.9964628993184306e-05,0.0,0.0,0.2550029754638672
ewc,0.0,0.6,0.05,2,0.07520733337150887,0.0,0.00048498500837013125,0.075692318379879,3.8824440707685426e-05,0.0,0.0,0.2590053081512451
ewc,0.0,0.6,0.05,3,0.07742675766348839,0.0,0.0003858022391796112,0.077812559902668,3.460237348917872e-05,0.0,0.0,0.2879621982574463
ewc,0.0,0.6,0.05,4,0.07439730799524114,0.0,0.0005137648549862206,0.07491107285022736,3.2862812076928094e-05,0.0,0.0,0.28014373779296875
ewc,0.01,0.6,0.05,0,0.07685322390170768,0.0,0.0005207724752835929,0.07737399637699127,3.420410575927235e-05,5.598718525351258e-08,7.910539068234357e-08,0.3716151714324951
ewc,0.01,0.6,0.05,1,0.0751685842697043,0.0,0.00044594259816221893,0.07561452686786652,2.9966598958708346e-05,4.987425270013522e-08,7.101618137994592e-08,0.32845640182495117
ewc,0.01,0.6,0.05,2,0.07520717690931633,0.0,0.00048498500837013125,0.07569216191768646,3.882689998135902e-05,5.383725595623119e-08,7.743233254586812e-08,0.36075520515441895
ewc,0.01,0.6,0.05,3,0.07742664590477943,0.0,0.0003858022391796112,0.07781244814395905,3.4604177926667035e-05,4.102298085716539e-08,5.8823847126632245e-08,0.3292524814605713
ewc,0.01,0.6,0.05,4,0.07439712918130681,0.0,0.0005137648549862206,0.07491089403629303,3.286529317847453e-05,6.284962252374287e-08,8.901718473453002e-08,0.31713151931762695
ewc,0.1,0.6,0.05,0,0.07685180084081367,0.0,0.0005207724752835929,0.07737257331609726,3.422374356887303e-05,5.598628889078028e-07,7.910381327747018e-07,0.33995985984802246
ewc,0.1,0.6,0.05,1,0.07516732512158342,0.0,0.00044594259816221893,0.07561326771974564,2.9984292268636636e-05,4.987350412971741e-07,7.101484129634628e-07,0.3157033920288086
ewc,0.1,0.6,0.05,2,0.0752057836507447,0.0,0.00048498500837013125,0.07569076865911484,3.884895340888761e-05,5.383641161942342e-07,7.743079777355888e-07,0.31774353981018066
ewc,0.1,0.6,0.05,3,0.07742554321885109,0.0,0.0003858022391796112,0.0778113454580307,3.462034510448575e-05,4.102248300831973e-07,5.882294544790057e-07,0.3043367862701416
ewc,0.1,0.6,0.05,4,0.07439557946054265,0.0,0.0005137648549862206,0.07490934431552887,3.288776861154474e-05,6.284846153007117e-07,8.901511137082707e-07,0.40163540840148926
ewc,1.0,0.6,0.05,0,0.0768376819905825,0.0,0.0005207724752835929,0.07735845446586609,3.442111483309418e-05,5.597729966395182e-06,7.908795851108152e-06,0.3502511978149414
ewc,1.0,0.6,0.05,1,0.07515465168398805,0.0,0.00044594259816221893,0.07560059428215027,3.0161985705490224e-05,4.986599828315064e-06,7.100145467120456e-06,0.35057950019836426
ewc,1.0,0.6,0.05,2,0.07519179146038368,0.0,0.00048498500837013125,0.07567677646875381,3.9070320781320333e-05,5.382794965466564e-06,7.741547960904427e-06,0.39631056785583496
ewc,1.0,0.6,0.05,3,0.07741453871130943,0.0,0.0003858022391796112,0.07780034095048904,3.478220241959207e-05,4.101748333665389e-06,5.881393008166924e-06,0.3202357292175293
ewc,1.0,0.6,0.05,4,0.07438006735173985,0.0,0.0005137648549862206,0.07489383220672607,3.311313776066527e-05,6.283682798899459e-06,8.899443855625577e-06,0.33826208114624023
ewc,10.0,0.6,0.05,0,0.07669656054349616,0.0,0.0005207724752835929,0.07721733301877975,3.646565164672211e-05,5.588754561426157e-05,7.892971916589886e-05,0.40641212463378906
ewc,10.0,0.6,0.05,1,0.07502819297951646,0.0,0.00044594259816221893,0.07547413557767868,3.1998326448956504e-05,4.979103928647355e-05,7.086788536980748e-05,0.3356962203979492
ewc,10.0,0.6,0.05,2,0.07505210797535256,0.0,0.00048498500837013125,0.07553709298372269,4.1351297113578767e-05,5.374344394093633e-05,7.726251351414248e-05,0.3702127933502197
ewc,10.0,0.6,0.05,3,0.07730467990040779,0.0,0.0003858022391796112,0.0776904821395874,3.6440600524656475e-05,4.096755376609984e-05,5.872395558981225e-05,0.36307621002197266
ewc,10.0,0.6,0.05,4,0.07422526663867757,0.0,0.0005137648549862206,0.07473903149366379,3.545881190802902e-05,6.272070962172193e-05,8.878811786416918e-05,0.3784291744232178
ewc,100.0,0.6,0.05,0,0.07530856208177283,0.0,0.0005207724752835929,0.07582933455705643,6.38038691249676e-05,0.0005500256531176433,0.000773751235101372,0.43706202507019043
ewc,100.0,0.6,0.05,1,0.07378305940073915,0.0,0.00044594259816221893,0.07422900199890137,5.618240174953826e-05,0.0004905142662248352,0.0006955441203899682,0.3962678909301758
ewc,100.0,0.6,0.05,2,0.07367764721857384,0.0,0.00048498500837013125,0.07416263222694397,7.073607412166893e-05,0.0005290983380880477,0.0007575892377644777,0.3957507610321045
ewc,100.0,0.6,0.05,3,0.07621994242072105,0.0,0.0003858022391796112,0.07660574465990067,5.692707418347709e-05,0.0004047360221967864,0.0005783626693300903,0.35506129264831543
ewc,100.0,0.6,0.05,4,0.07270666694967076,0.0,0.0005137648549862206,0.07322043180465698,6.782459968235344e-05,0.0006157898985040049,0.000867686583660543,0.3455209732055664
none,0.0,0.6,0.1,0,0.07983506716686861,0.0,2.210364755228511e-06,0.07983727753162384,1.1743340877501396e-07,0.0,0.0,0.3548548221588135
none,0.0,0.6,0.1,1,0.07799451948221758,0.0,1.4290112630988006e-06,0.07799594849348068,9.449348681300762e-08,0.0,0.0,0.32835984230041504
none,0.0,0.6,0.1,2,0.07838411408681623,0.0,1.656234076108376e-06,0.07838577032089233,1.3876925208933244e-07,0.0,0.0,0.33436131477355957
none,0.0,0.6,0.1,3,0.08045352442752574,0.0,1.152915842794755e-06,0.08045467734336853,9.64864597108317e-08,0.0,0.0,0.2952086925506592
none,0.0,0.6,0.1,4,0.0773024815429153,0.0,1.725245624584204e-06,0.07730420678853989,1.115597214607078e-07,0.0,0.0,0.48811960220336914
l2,0.0,0.6,0.1,0,0.07983506716686861,0.0,2.210364755228511e-06,0.07983727753162384,1.1743340877501396e-07,0.0,0.0,0.41684389114379883
l2,0.0,0.6,0.1,1,0.07799451948221758,0.0,1.4290112630988006e-06,0.07799594849348068,9.449348681300762e-08,0.0,0.0,0.4505746364593506
l2,0.0,0.6,0.1,2,0.07838411408681623,0.0,1.656234076108376e-06,0.07838577032089233,1.3876925208933244e-07,0.0,0.0,0.3790557384490967
l2,0.0,0.6,0.1,3,0.08045352442752574,0.0,1.152915842794755e-06,0.08045467734336853,9.64864597108317e-08,0.0,0.0,0.34357643127441406
l2,0.0,0.6,0.1,4,0.0773024815429153,0.0,1.725245624584204e-06,0.07730420678853989,1.115597214607078e-07,0.0,0.0,0.3312983512878418
l2,0.01,0.6,0.1,0,0.07190768666464464,0.0,2.210364755228511e-06,0.07190989702939987,0.00019679740944411606,0.003050788376354376,0.003594264853745699,0.3787503242492676
l2,0.01,0.6,0.1,1,0.07013780773695544,0.0,1.4290112630988006e-06,0.07013923674821854,0.00019782173330895603,0.0030446631753611657,0.0035926185082644224,0.3728015422821045
l2,0.01,0.6,0.1,2,0.07029198634643308,0.0,1.656234076108376e-06,0.07029364258050919,0.00020498769299592823,0.003016158913909294,0.0035800253972411156,0.34534788131713867
l2,0.01,0.6,0.1,3,0.07221345795881007,0.0,1.152915842794755e-06,0.07221461087465286,0.0002023424895014614,0.0030265342226341546,0.0035852317232638597,0.3359866142272949
l2,0.01,0.6,0.1,4,0.06957836032995601,0.0,1.725245624584204e-06,0.0695800855755806,0.00019685504958033562,0.0030499888867150274,0.003593914443627,0.34289097785949707
l2,0.1,0.6,0.1,0,0.03490609548885004,0.0,2.210364755228511e-06,0.03490830585360527,0.008786878548562527,0.015738510472343478,0.01743958704173565,0.3249645233154297
l2,0.1,0.6,0.1,1,0.033612222979627404,0.0,1.4290112630988006e-06,0.0336136519908905,0.008852299302816391,0.015564759839293401,0.0172746442258358,0.3498077392578125
l2,0.1,0.6,0.1,2,0.03321319225449315,0.0,1.656234076108376e-06,0.03321484848856926,0.008930773474276066,0.015198624209264381,0.01690313033759594,0.3657855987548828
l2,0.1,0.6,0.1,3,0.03425324900638316,0.0,1.152915842794755e-06,0.03425440192222595,0.008906710892915726,0.015324676976666524,0.01703137345612049,0.37758302688598633
l2,0.1,0.6,0.1,4,0.0336303781081142,0.0,1.725245624584204e-06,0.033632103353738785,0.008793212473392487,0.015719473377212124,0.01742134802043438,0.3666417598724365
l2,1.0,0.6,0.1,0,0.0024235259172655788,0.0,2.210364755228511e-06,0.0024257362820208073,0.05497515946626663,0.011801420258474537,0.012088202871382236,0.3344104290008545
l2,1.0,0.6,0.1,1,0.002256393535844836,0.0,1.4290112630988006e-06,0.002257822547107935,0.05440012365579605,0.011339311647083378,0.01161678321659565,0.3119690418243408
l2,1.0,0.6,0.1,2,0.002180141752774034,0.0,1.656234076108376e-06,0.0021817979868501425,0.05327988415956497,0.010815598897228483,0.011081479489803314,0.3284945487976074
l2,1.0,0.6,0.1,3,0.0022567466982081896,0.0,1.152915842794755e-06,0.0022578996140509844,0.05366891995072365,0.010994267065107123,0.011264129541814327,0.34020018577575684
l2,1.0,0.6,0.1,4,0.0023186521433444796,0.0,1.725245624584204e-06,0.0023203773889690638,0.05491246283054352,0.011753686249634484,0.012039504013955593,0.36973023414611816
l2,10.0,0.6,0.1,0,3.6300249348641955e-05,0.0,2.210364755228511e-06,3.8510614103870466e-05,0.07845933735370636,0.0017721495174337178,0.001775528071448207,0.3552374839782715
l2,10.0,0.6,0.1,1,3.3215846542589134e-05,0.0,1.4290112630988006e-06,3.4644857805687934e-05,0.0769134983420372,0.001682548428652808,0.0016857620794326067,0.3521919250488281
l2,10.0,0.6,0.1,2,3.154615421863127e-05,0.0,1.656234076108376e-06,3.320238829473965e-05,0.0747213214635849,0.0015922529806848616,0.0015952978283166885,0.3220837116241455
l2,10.0,0.6,0.1,3,3.278148108165624e-05,0.0,1.152915842794755e-06,3.3934396924450994e-05,0.0754750519990921,0.0016225604978390038,0.0016256622038781643,0.3066895008087158
l2,10.0,0.6,0.1,4,3.471247725883586e-05,0.0,1.725245624584204e-06,3.6437722883420065e-05,0.07829642295837402,0.0017629036824218928,0.0017662654863670468,0.39757823944091797
l2,100.0,0.6,0.1,0,inf,0.0,2.210364755228511e-06,inf,inf,,,0.12096476554870605
l2,100.0,0.6,0.1,1,inf,0.0,1.4290112630988006e-06,inf,inf,,,0.13504648208618164
l2,100.0,0.6,0.1,2,inf,0.0,1.656234076108376e-06,inf,inf,,,0.14688324928283691
l2,100.0,0.6,0.1,3,inf,0.0,1.152915842794755e-06,inf,inf,,,0.13460659980773926
l2,100.0,0.6,0.1,4,inf,0.0,1.725245624584204e-06,inf,inf,,,0.14197516441345215
ewc,0.0,0.6,0.1,0,0.07983506716686861,0.0,2.210364755228511e-06,0.07983727753162384,1.1743340877501396e-07,0.0,0.0,0.3096153736114502
ewc,0.0,0.6,0.1,1,0.07799451948221758,0.0,1.4290112630988006e-06,0.07799594849348068,9.449348681300762e-08,0.0,0.0,0.28458380699157715
