method,lambda_value,similarity,learning_rate,seed,forgetting,forgetting_reduction,loss_t1_after_t1,loss_t1_after_t2,loss_t2_after_t2,ewc_loss_mean,ewc_loss_final,relative_time
ewc,10.0,0.0,0.01,4,-0.04529287666082382,0.0,0.15742692351341248,0.11213404685258865,0.05975476652383804,0.014433377873983431,0.031154436990618706,0.30895209312438965
ewc,100.0,0.0,0.01,0,-0.036404818296432495,0.0,0.14282096922397614,0.10641615092754364,0.16687187552452087,0.038229012005916954,0.058462344110012054,0.3466503620147705
ewc,100.0,0.0,0.01,1,-0.03783709555864334,0.0,0.14401620626449585,0.10617911070585251,0.1696617603302002,0.03745956626546922,0.056675005704164505,0.25995826721191406
ewc,100.0,0.0,0.01,2,-0.0421590656042099,0.0,0.15054839849472046,0.10838933289051056,0.17609699070453644,0.038917149677513405,0.05921221897006035,0.2630338668823242
ewc,100.0,0.0,0.01,3,-0.033117398619651794,0.0,0.14365245401859283,0.11053505539894104,0.15381483733654022,0.033659030126245396,0.05116201937198639,0.3040168285369873
ewc,100.0,0.0,0.01,4,-0.037912510335445404,0.0,0.15742692351341248,0.11951441317796707,0.17811065912246704,0.03749640519673994,0.054938532412052155,0.3275279998779297
none,0.0,0.0,0.05,0,0.19194702134700492,0.0,0.0005207724752835929,0.1924677938222885,8.492814231431112e-05,0.0,0.0,0.22211718559265137
none,0.0,0.0,0.05,1,0.18797892777365632,0.0,0.00044594259816221893,0.18842487037181854,7.978251232998446e-05,0.0,0.0,0.21298670768737793
none,0.0,0.0,0.05,2,0.1888164163683541,0.0,0.00048498500837013125,0.18930140137672424,9.994988795369864e-05,0.0,0.0,0.22946882247924805
none,0.0,0.0,0.05,3,0.19626592472195625,0.0,0.0003858022391796112,0.19665172696113586,8.696790609974414e-05,0.0,0.0,0.21538901329040527
none,0.0,0.0,0.05,4,0.18787230289308354,0.0,0.0005137648549862206,0.18838606774806976,8.229372906498611e-05,0.0,0.0,0.23176193237304688
l2,0.0,0.0,0.05,0,0.19194702134700492,0.0,0.0005207724752835929,0.1924677938222885,8.492814231431112e-05,0.0,0.0,0.24393820762634277
l2,0.0,0.0,0.05,1,0.18797892777365632,0.0,0.00044594259816221893,0.18842487037181854,7.978251232998446e-05,0.0,0.0,0.22273540496826172
l2,0.0,0.0,0.05,2,0.1888164163683541,0.0,0.00048498500837013125,0.18930140137672424,9.994988795369864e-05,0.0,0.0,0.22692656517028809
l2,0.0,0.0,0.05,3,0.19626592472195625,0.0,0.0003858022391796112,0.19665172696113586,8.696790609974414e-05,0.0,0.0,0.21557140350341797
l2,0.0,0.0,0.05,4,0.18787230289308354,0.0,0.0005137648549862206,0.18838606774806976,8.229372906498611e-05,0.0,0.0,0.24294590950012207
l2,0.01,0.0,0.05,0,0.17429474816890433,0.0,0.0005207724752835929,0.17481552064418793,0.0007433618302457035,0.006251851072522641,0.008682616986334324,0.339184045791626
l2,0.01,0.0,0.05,1,0.1701879843894858,0.0,0.00044594259816221893,0.170633926987648,0.0007528301794081926,0.006177152559062279,0.008662832900881767,0.29551267623901367
l2,0.01,0.0,0.05,2,0.17074196349130943,0.0,0.00048498500837013125,0.17122694849967957,0.0008068900788202882,0.006129573814798959,0.008649591356515884,0.28035879135131836
l2,0.01,0.0,0.05,3,0.17765376344323158,0.0,0.0003858022391796112,0.1780395656824112,0.0007747615454718471,0.0061394760234416024,0.008632627315819263,0.2846362590789795
l2,0.01,0.0,0.05,4,0.1703627977403812,0.0,0.0005137648549862206,0.17087656259536743,0.0007449730765074492,0.00619358512251074,0.008635717444121838,0.3056449890136719
l2,0.1,0.0,0.05,0,0.08673095778794959,0.0,0.0005207724752835929,0.08725173026323318,0.02182215079665184,0.034733242100217464,0.04307118430733681,0.2725231647491455
l2,0.1,0.0,0.05,1,0.08290555773419328,0.0,0.00044594259816221893,0.0833515003323555,0.02210395596921444,0.033821706455591995,0.04220158979296684,0.2631235122680664
l2,0.1,0.0,0.05,2,0.0825663388823159,0.0,0.00048498500837013125,0.08305132389068604,0.02232440374791622,0.03335894106221167,0.04173319414258003,0.2879164218902588
l2,0.1,0.0,0.05,3,0.08644324168562889,0.0,0.0003858022391796112,0.0868290439248085,0.022133629769086838,0.03354489150470181,0.04189452901482582,0.2713470458984375
l2,0.1,0.0,0.05,4,0.08400405681459233,0.0,0.0005137648549862206,0.08451782166957855,0.021835291758179665,0.03422409444920959,0.042537346482276917,0.29316091537475586
l2,1.0,0.0,0.05,0,0.006169346917886287,0.0,0.0005207724752835929,0.00669011939316988,0.13605180382728577,0.02849223720212467,0.029928727075457573,0.3128347396850586
l2,1.0,0.0,0.05,1,0.005610316788079217,0.0,0.00044594259816221893,0.006056259386241436,0.13319437205791473,0.02662378259196703,0.027979858219623566,0.29207324981689453
l2,1.0,0.0,0.05,2,0.005474702280480415,0.0,0.00048498500837013125,0.005959687288850546,0.13187360763549805,0.025949092428418224,0.027274271473288536,0.2857935428619385
l2,1.0,0.0,0.05,3,0.005864798091351986,0.0,0.0003858022391796112,0.006250600330531597,0.1323167085647583,0.026321492289396703,0.02766311727464199,0.27223801612854004
l2,1.0,0.0,0.05,4,0.005922684620600194,0.0,0.0005137648549862206,0.006436449475586414,0.13434144854545593,0.027699963560138714,0.02910076268017292,0.2827267646789551
l2,10.0,0.0,0.05,0,0.0001104589318856597,0.0,0.0005207724752835929,0.0006312314071692526,0.19419552385807037,0.004373077246826142,0.004395865369588137,0.25418734550476074
l2,10.0,0.0,0.05,1,9.848186164163053e-05,0.0,0.00044594259816221893,0.0005444244598038495,0.18736065924167633,0.004017606639070436,0.0040385727770626545,0.26825475692749023
l2,10.0,0.0,0.05,2,8.861965034157038e-05,0.0,0.00048498500837013125,0.0005736046587117016,0.18462581932544708,0.0038984014200977983,0.0039187534712255,0.23865866661071777
l2,10.0,0.0,0.05,3,0.00010958657367154956,0.0,0.0003858022391796112,0.0004953888128511608,0.18585598468780518,0.003966707362327725,0.003987410571426153,0.23937678337097168
l2,10.0,0.0,0.05,4,0.0001154548954218626,0.0,0.0005137648549862206,0.0006292197504080832,0.19081875681877136,0.004231024879030884,0.004253081511706114,0.20149517059326172
l2,100.0,0.0,0.05,0,inf,0.0,0.0005207724752835929,inf,inf,,,0.07316827774047852
l2,100.0,0.0,0.05,1,inf,0.0,0.00044594259816221893,inf,inf,,,0.08839917182922363
l2,100.0,0.0,0.05,2,inf,0.0,0.00048498500837013125,inf,inf,,,0.0907444953918457
l2,100.0,0.0,0.05,3,inf,0.0,0.0003858022391796112,inf,inf,,,0.1078500747680664
l2,100.0,0.0,0.05,4,inf,0.0,0.0005137648549862206,inf,inf,,,0.10324501991271973
ewc,0.0,0.0,0.05,0,0.19194702134700492,0.0,0.0005207724752835929,0.1924677938222885,8.492814231431112e-05,0.0,0.0,0.2250227928161621
ewc,0.0,0.0,0.05,1,0.18797892777365632,0.0,0.00044594259816221893,0.18842487037181854,7.978251232998446e-05,0.0,0.0,0.22411465644836426
ewc,0.0,0.0,0.05,2,0.1888164163683541,0.0,0.00048498500837013125,0.18930140137672424,9.994988795369864e-05,0.0,0.0,0.18504071235656738
ewc,0.0,0.0,0.05,3,0.19626592472195625,0.0,0.0003858022391796112,0.19665172696113586,8.696790609974414e-05,0.0,0.0,0.22910189628601074
ewc,0.0,0.0,0.05,4,0.18787230289308354,0.0,0.0005137648549862206,0.18838606774806976,8.229372906498611e-05,0.0,0.0,0.2056732177734375
ewc,0.01,0.0,0.05,0,0.19194663391681388,0.0,0.0005207724752835929,0.19246740639209747,8.493359200656414e-05,1.4027560283534634e-07,1.981752006940951e-07,0.24619388580322266
ewc,0.01,0.0,0.05,1,0.18797858504694887,0.0,0.00044594259816221893,0.18842452764511108,7.9787612776272e-05,1.232952686677849e-07,1.7640546445818472e-07,0.24989771842956543
ewc,0.01,0.0,0.05,2,0.18881604383932427,0.0,0.00048498500837013125,0.1893010288476944,9.995605796575546e-05,1.3310870048320252e-07,1.9160565045694966e-07,0.2597479820251465
ewc,0.01,0.0,0.05,3,0.19626561179757118,0.0,0.0003858022391796112,0.1966514140367508,8.697243174538016e-05,1.0255825914632851e-07,1.471312884859799e-07,0.2637050151824951
ewc,0.01,0.0,0.05,4,0.18787188566057011,0.0,0.0005137648549862206,0.18838565051555634,8.23000882519409e-05,1.5471817523196595e-07,2.2002659250119905e-07,0.28131961822509766
ewc,0.1,0.0,0.05,0,0.19194308744044974,0.0,0.0005207724752835929,0.19246385991573334,8.498291572323069e-05,1.40273338290825e-06,1.9817118754872354e-06,0.2781510353088379
ewc,0.1,0.0,0.05,1,0.1879753812972922,0.0,0.00044594259816221893,0.1884213238954544,7.983375689946115e-05,1.2329340261001132e-06,1.764021021699591e-06,0.27081298828125
ewc,0.1,0.0,0.05,2,0.18881252716528252,0.0,0.00048498500837013125,0.18929751217365265,0.00010001162445405498,1.3310661128851098e-06,1.916018618430826e-06,0.2855961322784424
ewc,0.1,0.0,0.05,3,0.19626282528042793,0.0,0.0003858022391796112,0.19664862751960754,8.70129733812064e-05,1.0255700062358765e-06,1.4712902611790923e-06,0.30871129035949707
ewc,0.1,0.0,0.05,4,0.18786795175401494,0.0,0.0005137648549862206,0.18838171660900116,8.235705900005996e-05,1.5471530233059916e-06,2.2002145669830497e-06,0.3190579414367676
ewc,1.0,0.0,0.05,0,0.19190766738029197,0.0,0.0005207724752835929,0.19242843985557556,8.547752804588526e-05,1.4025065634509114e-05,1.9813118342426606e-05,0.26164889335632324
ewc,1.0,0.0,0.05,1,0.18794344810885377,0.0,0.00044594259816221893,0.188389390707016,8.029564924072474e-05,1.2327469504521016e-05,1.76368575921515e-05,0.2643311023712158
ewc,1.0,0.0,0.05,2,0.1887774796341546,0.0,0.00048498500837013125,0.18926246464252472,0.00010056814790004864,1.3308568730955983e-05,1.9156394046149217e-05,0.28524231910705566
ewc,1.0,0.0,0.05,3,0.1962347961962223,0.0,0.0003858022391796112,0.19662059843540192,8.741996862227097e-05,1.0254437146384187e-05,1.4710624782310333e-05,0.2915527820587158
ewc,1.0,0.0,0.05,4,0.1878288362058811,0.0,0.0005137648549862206,0.1883426010608673,8.292867278214544e-05,1.5468652993043452e-05,2.1997004296281375e-05,0.3059418201446533
ewc,10.0,0.0,0.05,0,0.19155406282516196,0.0,0.0005207724752835929,0.19207483530044556,9.060141019290313e-05,0.0001400241863112406,0.00019773186068050563,0.2699604034423828
ewc,10.0,0.0,0.05,1,0.18762468246859498,0.0,0.00044594259816221893,0.1880706250667572,8.506382437190041e-05,0.00012308789101423656,0.00017603382002562284,0.2998659610748291
ewc,10.0,0.0,0.05,2,0.18842757056700066,0.0,0.00048498500837013125,0.1889125555753708,0.0001063007366610691,0.00013287675145656408,0.00019118546333629638,0.315321683883667
ewc,10.0,0.0,0.05,3,0.1959548480808735,0.0,0.0003858022391796112,0.1963406503200531,9.158978355117142e-05,0.00010241823328380306,0.0001468787668272853,0.29546546936035156
ewc,10.0,0.0,0.05,4,0.18743844068376347,0.0,0.0005137648549862206,0.1879522055387497,8.887310104910284e-05,0.00015439932219232943,0.000219457084313035,0.2892470359802246
ewc,100.0,0.0,0.05,0,0.18807637022109702,0.0,0.0005207724752835929,0.18859714269638062,0.0001592310145497322,0.0013779139410391395,0.0019380913581699133,0.2973747253417969
ewc,100.0,0.0,0.05,1,0.18448609558981843,0.0,0.00044594259816221893,0.18493203818798065,0.00014728543465025723,0.0012124480262624502,0.001727424911223352,0.32297205924987793
ewc,100.0,0.0,0.05,2,0.18498437415109947,0.0,0.00048498500837013125,0.1854693591594696,0.00017987022874876857,0.0013081553418224986,0.0018746514106169343,0.2690448760986328
ewc,100.0,0.0,0.05,3,0.1931910403072834,0.0,0.0003858022391796112,0.193576842546463,0.00014314638974610716,0.0010117049176088812,0.0014463511761277914,0.27805614471435547
ewc,100.0,0.0,0.05,4,0.18360832071630284,0.0,0.0005137648549862206,0.18412208557128906,0.0001704246096778661,0.0015157553346954273,0.0021443606819957495,0.2565879821777344
none,0.0,0.0,0.1,0,0.19857589401203768,0.0,2.210364755228511e-06,0.1985781043767929,3.007401971899526e-07,0.0,0.0,0.25612592697143555
none,0.0,0.0,0.1,1,0.19465528578575686,0.0,1.4290112630988006e-06,0.19465671479701996,2.471509219503787e-07,0.0,0.0,0.24772286415100098
none,0.0,0.0,0.1,2,0.19614003378171674,0.0,1.656234076108376e-06,0.19614169001579285,3.7578405454041786e-07,0.0,0.0,0.22498703002929688
none,0.0,0.0,0.1,3,0.2033370081950352,0.0,1.152915842794755e-06,0.203338161110878,2.477427756275574e-07,0.0,0.0,0.20985102653503418
none,0.0,0.0,0.1,4,0.19450107545742412,0.0,1.725245624584204e-06,0.1945028007030487,2.7116021783513133e-07,0.0,0.0,0.20732808113098145
l2,0.0,0.0,0.1,0,0.19857589401203768,0.0,2.210364755228511e-06,0.1985781043767929,3.007401971899526e-07,0.0,0.0,0.19029998779296875
l2,0.0,0.0,0.1,1,0.19465528578575686,0.0,1.4290112630988006e-06,0.19465671479701996,2.471509219503787e-07,0.0,0.0,0.19711995124816895
l2,0.0,0.0,0.1,2,0.19614003378171674,0.0,1.656234076108376e-06,0.19614169001579285,3.7578405454041786e-07,0.0,0.0,0.18386530876159668
l2,0.0,0.0,0.1,3,0.2033370081950352,0.0,1.152915842794755e-06,0.203338161110878,2.477427756275574e-07,0.0,0.0,0.20262527465820312
l2,0.0,0.0,0.1,4,0.19450107545742412,0.0,1.725245624584204e-06,0.1945028007030487,2.7116021783513133e-07,0.0,0.0,0.19261908531188965
l2,0.01,0.0,0.1,0,0.1788847247501053,0.0,2.210364755228511e-06,0.17888693511486053,0.0004916705074720085,0.00763011271027699,0.008987688459455967,0.2573366165161133
l2,0.01,0.0,0.1,1,0.17479303629215792,0.0,1.4290112630988006e-06,0.17479446530342102,0.0005017535295337439,0.0075792451509460075,0.008966939523816109,0.2596302032470703
l2,0.01,0.0,0.1,2,0.1758135088088011,0.0,1.656234076108376e-06,0.1758151650428772,0.000515354739036411,0.007526405260486172,0.00894196517765522,0.3267543315887451
l2,0.01,0.0,0.1,3,0.18249247415553782,0.0,1.152915842794755e-06,0.18249362707138062,0.0005072833155281842,0.007557603047574048,0.008957593701779842,0.25929689407348633
l2,0.01,0.0,0.1,4,0.1749207112301292,0.0,1.725245624584204e-06,0.17492243647575378,0.0004961114609614015,0.0076063670693156385,0.008977042511105537,0.26955127716064453
l2,0.1,0.0,0.1,0,0.08693368978697436,0.0,2.210364755228511e-06,0.08693590015172958,0.0219600647687912,0.03938751442044304,0.04364047944545746,0.3007378578186035
l2,0.1,0.0,0.1,1,0.08307454140003756,0.0,1.4290112630988006e-06,0.08307597041130066,0.022240370512008667,0.03845030700007192,0.04272381588816643,0.29281187057495117
l2,0.1,0.0,0.1,2,0.08289796638507596,0.0,1.656234076108376e-06,0.08289962261915207,0.022349148988723755,0.03784094777115388,0.042098332196474075,0.2764625549316406
l2,0.1,0.0,0.1,3,0.08649523748647425,0.0,1.152915842794755e-06,0.08649639040231705,0.022281145676970482,0.03821071206235502,0.042475633323192596,0.27707982063293457
